SiteCode,Name_EN,Name_FR,Latitude,Longitude,AltMin,AltMax,Area,DateAssessed,PercentProtected,BoundaryGeneralized,Level,CriteriaMet,ConservationActions,Landcover,Province,Species
MB015,"Whitewater Lake","Whitewater Lake",49.25,-100.32,488,535,301.36,"2022-08-18 00:00:00",10,0,Global,"Global: D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Site/area management, Site/area protection, Legislation","Temperate or sub-polar needleleaf forest(0.17%), Barren lands(0.01%), Wetland(3.3%), Temperate or sub-polar broadleaf deciduous forest(0.38%), Mixed forest(0.03%), Temperate or sub-polar grassland(3.44%), Temperate or sub-polar shrubland(0.11%), Urban(1.94%), Cropland(50.31%), Water(40.3%), ",Manitoba,"Hudsonian Godwit(Limosa haemastica), Sandhill Crane(Antigone canadensis), Snow Goose(Anser caerulescens), Tundra Swan(Cygnus columbianus), Franklin's Gull(Leucophaeus pipixcan), Bank Swallow(Riparia riparia), Long-billed Dowitcher(Limnodromus scolopaceus), Western Grebe(Aechmophorus occidentalis), Short-billed Dowitcher(Limnodromus griseus), Lesser Yellowlegs(Tringa flavipes), "
MB114,"Lake Francis Veterans","Lake Francis Veterans",50.34,-97.91,252,254,0.03,"2022-12-06 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants)",,"Wetland(57.46%), Temperate or sub-polar grassland(37.87%), ",Manitoba,"Rough Agalinis(Agalinis aspera), "
MB115,"Pine Ridge Hillside","Pine Ridge Hillside",49.99,-96.89,247,268,2.05,"2022-12-06 00:00:00",12,0,National,"Global: . National: Threatened vascular plants (A1)","Site/area protection","Temperate or sub-polar shrubland(11.74%), Cropland(16.45%), Temperate or sub-polar grassland(32.89%), Wetland(12.94%), Barren lands(1.26%), Urban(17.57%), Temperate or sub-polar broadleaf deciduous forest(7.09%), ",Manitoba,"Western Silvery Aster(Symphyotrichum sericeum), Rough Agalinis(Agalinis aspera), "
MB116,"Rounthwaite Five Mile Creek","Rounthwaite Five Mile Creek",49.64,-99.79,407,411,0.16,"2022-12-06 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants, sensitive species)",,"Wetland(26.33%), Urban(17.25%), Cropland(20.67%), Temperate or sub-polar broadleaf deciduous forest(3.2%), Temperate or sub-polar grassland(12.01%), Water(19.86%), ",Manitoba,"Rough Agalinis(Agalinis aspera), "
MB117,"Spring Creek","Spring Creek",49.72,-99.84,365,489,0.17,"2023-03-06 00:00:00",8,1,National,"Global: . National: Threatened sensitive species (A1); Geographically restricted sensitive species (individual species) (B1)","Site/area protection, Invasive/problematic species control","Urban(2.45%), Temperate or sub-polar shrubland(0.41%), Temperate or sub-polar broadleaf deciduous forest(29.19%), Temperate or sub-polar needleleaf forest(0.18%), Cropland(53.35%), Mixed forest(0.24%), Water(0.88%), Temperate or sub-polar grassland(7.13%), Wetland(6.18%), ",Manitoba,
MB118,"Minago River","Minago River",54.48,-98.66,207,217,1.96,"2023-06-16 00:00:00",0,0,Global,"Global: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1). National: ",,"Temperate or sub-polar shrubland(6.02%), Temperate or sub-polar needleleaf forest(5.91%), Water(76.03%), Temperate or sub-polar grassland(4.66%), Wetland(7.05%), ",Manitoba,"Lori's Water-lily(Nymphaea loriana), "
MB119,"Rat River","Rat River",49.49,-97.03,228,242,11.14,"2023-10-30 00:00:00",0,0,National,"Global: . National: Threatened invertebrates & vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)",,"Cropland(15.79%), Wetland(13.41%), Temperate or sub-polar broadleaf deciduous forest(51.38%), Mixed forest(3.67%), Temperate or sub-polar needleleaf forest(0.93%), Temperate or sub-polar grassland(2.32%), Urban(4.16%), Water(1.27%), Temperate or sub-polar shrubland(7.07%), ",Manitoba,"Fascicled Ironweed(Vernonia fasciculata), Mapleleaf Mussel(Quadrula quadrula pop. 1), "
MB120,"Whitemouth-Birch Rivers","Whitemouth-Birch Rivers",49.74,-95.85,256,313,15.11,"2023-10-30 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes)","Legislation, Resource & habitat protection, Species recovery","Temperate or sub-polar shrubland(5.24%), Wetland(11.5%), Temperate or sub-polar grassland(3.16%), Temperate or sub-polar needleleaf forest(9.08%), Water(28.3%), Urban(1.98%), Temperate or sub-polar broadleaf deciduous forest(13.06%), Cropland(19.65%), Mixed forest(8.02%), ",Manitoba,"Northern Brook Lamprey(Ichthyomyzon fossor pop. 2), Carmine Shiner(Notropis percobromus), "
MB121,"Bird River","Bird River",50.41,-95.67,257,275,0.4900000000000001,"2023-12-14 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (fishes)",,"Urban(2.63%), Mixed forest(2.04%), Temperate or sub-polar shrubland(3.66%), Water(61.37%), Temperate or sub-polar needleleaf forest(8.9%), Wetland(19.62%), Temperate or sub-polar grassland(1.16%), ",Manitoba,"Carmine Shiner(Notropis percobromus), "
MB122,"Old Pinawa Dam","Old Pinawa Dam",50.22,-95.92,250,259,0.060000000000000005,"2023-12-14 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (fishes)","Site/area protection","Cropland(10.39%), Water(78.36%), ",Manitoba,"Carmine Shiner(Notropis percobromus), "
MB123,"Marble Ridge Alvar","Marble Ridge Alvar",51.16,-97.62,238,264,68.49,"2024-02-14 00:00:00",0,0,National,"Global: B4 - Geographically restricted ecosystem types (grasslands and shrublands). National: ",,"Barren lands(0.2%), Temperate or sub-polar shrubland(0.57%), Mixed forest(1.57%), Water(2.48%), Wetland(46.95%), Temperate or sub-polar grassland(27.55%), Temperate or sub-polar needleleaf forest(5.14%), Cropland(1.91%), Temperate or sub-polar broadleaf deciduous forest(12.49%), Urban(1.13%), ",Manitoba,
MB124,Narcisse,Narcisse,50.75,-97.60,252,286,246.47,"2024-02-14 00:00:00",32,0,National,"Global: D1 - Demographic aggregations (amphibians and reptiles). National: ","Formal education, Site/area protection, Site/area management, Awareness & communications","Temperate or sub-polar shrubland(1.88%), Cropland(0.14%), Barren lands(0.01%), Urban(0.68%), Temperate or sub-polar grassland(11.51%), Mixed forest(10%), Wetland(32.92%), Temperate or sub-polar broadleaf deciduous forest(23.97%), Temperate or sub-polar needleleaf forest(1.74%), Water(17.15%), ",Manitoba,"Common Gartersnake(Thamnophis sirtalis), "
MB125,"Portage Sandhills","Portage Sandhills",49.80,-98.27,281,302,57.43,"2024-09-25 00:00:00",28,0,National,"Global: . National: A1 - Threatened species (vascular plants)","Site/area protection","Temperate or sub-polar needleleaf forest(0.02%), Temperate or sub-polar grassland(13.66%), Temperate or sub-polar broadleaf deciduous forest(65.5%), Mixed forest(0.45%), Urban(1.6%), Water(0.5%), Wetland(11.51%), Temperate or sub-polar shrubland(2.43%), Cropland(4.32%), ",Manitoba,"Hairy Prairie-clover(Dalea villosa), "
MB128,"Wagon Creek Road","Wagon Creek Road",50.48,-97.89,258,264,5.99,"2024-09-25 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). GLOBAL: A1 - Threatened species (sensitive species)","Site/area management","Temperate or sub-polar broadleaf deciduous forest(14.06%), Temperate or sub-polar grassland(32.71%), Wetland(48.5%), Cropland(0.33%), Mixed forest(0.3%), Urban(3.27%), Water(0.2%), Temperate or sub-polar shrubland(0.61%), ",Manitoba,"Rough Agalinis(Agalinis aspera), "
NB003,"Kouchibouguac and Richibucto Coast","Côte de Kouchibouguac et de Richibucto",46.83,-64.96,0,42,298.38,"2023-10-05 00:00:00",98,0,National,"Global: A1 - Threatened species (vascular plants). National: A1 - Threatened species (birds, vascular plants); B1 - Individual geographically restricted species (vascular plants); D1 - Demographic aggregations (birds)","Site/area protection, Legislation, Species recovery, Site/area management","Wetland(8.42%), Mixed forest(17.32%), Temperate or sub-polar broadleaf deciduous forest(3.48%), Temperate or sub-polar shrubland(0.11%), Temperate or sub-polar needleleaf forest(33.6%), Water(33.2%), Cropland(0.84%), Urban(0.74%), Temperate or sub-polar grassland(2.06%), Barren lands(0.23%), ","New Brunswick","Piping Plover(Charadrius melodus melodus), Roland's Sea-blite(Suaeda rolandii), Gulf of St. Lawrence Aster(Symphyotrichum laurentianum), Gulf of St. Lawrence Pinweed(Lechea maritima var. subcylindrica), Common Tern(Sterna hirundo), "
NB011,"Grand Manan Archipelago","Archipel de Grand Manan",44.60,-66.81,0,126,1000.76,"2022-08-18 00:00:00",1,0,Global,"Global: A1 - Threatened species (birds); D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Site/area protection, Awareness & communications, Legislation","Temperate or sub-polar grassland(0.16%), Barren lands(0.01%), Cropland(0.25%), Wetland(0.09%), Mixed forest(1.5%), Temperate or sub-polar needleleaf forest(3.98%), Urban(0.55%), Water(92.86%), Temperate or sub-polar shrubland(0.01%), Temperate or sub-polar broadleaf deciduous forest(0.59%), ","New Brunswick","Razorbill(Alca torda), Leach's Storm-Petrel(Hydrobates leucorhous), Common Eider(Somateria mollissima), Purple Sandpiper(Calidris maritima), Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), "
NB019,"Machias Seal Island","Île Machias Seal",44.50,-67.10,0,7,81.7,"2023-10-05 00:00:00",13,0,National,"Global: . National: D1 - Demographic aggregations (birds)","Invasive/problematic species control, Site/area management, Site/area protection","Water(100%), ","New Brunswick","Razorbill(Alca torda), Atlantic Puffin(Fratercula arctica), "
NB021,"Miscou Island","Plages et lagunes de l’île Miscou",47.95,-64.53,0,16,134.47,"2023-10-05 00:00:00",27,0,National,"Global: A1 - Threatened species (vascular plants). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Legislation, Awareness & communications, Site/area protection, Policies and regulations, Resource & habitat protection","Temperate or sub-polar shrubland(1.17%), Barren lands(0.2%), Urban(2.07%), Temperate or sub-polar grassland(6.31%), Wetland(10.88%), Temperate or sub-polar needleleaf forest(11.15%), Sub-polar taiga needleleaf forest(0.01%), Cropland(0.01%), Mixed forest(11.95%), Water(55%), Temperate or sub-polar broadleaf deciduous forest(1.25%), ","New Brunswick","Northern Gannet(Morus bassanus), Gulf of St. Lawrence Aster(Symphyotrichum laurentianum), Piping Plover(Charadrius melodus melodus), "
NB037,"Quoddy Region","Région de Quoddy",45.00,-66.90,0,85,133.09,"2022-08-18 00:00:00",0,0,Global,"Global: A1 - Threatened species (birds); D1 - Demographic aggregations (birds). National: D1 - Demographic aggregations (birds)",Legislation,"Urban(2.81%), Barren lands(0.02%), Temperate or sub-polar needleleaf forest(15.75%), Water(72.55%), Mixed forest(4.47%), Wetland(1.46%), Temperate or sub-polar shrubland(0.04%), Temperate or sub-polar grassland(0.62%), Temperate or sub-polar broadleaf deciduous forest(2.28%), ","New Brunswick","Black-legged Kittiwake(Rissa tridactyla), Great Black-backed Gull(Larus marinus), Black-headed Gull(Chroicocephalus ridibundus), Bonaparte's Gull(Chroicocephalus philadelphia), Little Gull(Hydrocoloeus minutus), Razorbill(Alca torda), "
NB042,Pointe-Sapin,Pointe-Sapin,47.01,-64.82,0,3,0.35000000000000003,"2024-06-26 00:00:00",25,0,National,"Global: A1 - Threatened species (vascular plants). National: ","Site/area protection, Policies and regulations, Species management, Legislation","Wetland(6.8%), Water(37.41%), Temperate or sub-polar needleleaf forest(18.98%), Temperate or sub-polar grassland(29.54%), Mixed forest(5.86%), ","New Brunswick","Roland's Sea-blite(Suaeda rolandii), "
NB053,"Fox Island","Île Fox",47.10,-65.00,0,9,7,"2023-02-06 00:00:00",100,0,National,"Global: . National: Threatened vascular plants (A1)",Legislation,"Temperate or sub-polar broadleaf deciduous forest(0.2%), Mixed forest(3.52%), Water(60.51%), Temperate or sub-polar grassland(17.98%), Wetland(7.32%), Temperate or sub-polar needleleaf forest(8.1%), Barren lands(1.76%), Temperate or sub-polar shrubland(0.6%), ","New Brunswick","Gulf of St. Lawrence Pinweed(Lechea maritima var. subcylindrica), "
NB054,"Dipper Harbour Creek","Dipper Harbour Creek",45.11,-66.45,8,40,1.43,"2023-06-16 00:00:00",0,0,National,"Global: . National: Threatened vascular plants (A1)","Policies and regulations, Species management, Resource & habitat protection, Site/area management","Temperate or sub-polar needleleaf forest(84.73%), Temperate or sub-polar broadleaf deciduous forest(2.08%), Mixed forest(12.85%), ","New Brunswick","Van Brunt's Jacob's-ladder(Polemonium vanbruntiae), "
NB055,Bas-Caraquet,Bas-Caraquet,47.80,-64.84,0,5,0.37,"2023-06-20 00:00:00",0,0,National,"Global: A1 - Threatened species (sensitive species). National: ","Legislation, Resource & habitat protection, Awareness & communications, Site/area management, Policies and regulations","Wetland(14.47%), Urban(12.84%), Temperate or sub-polar needleleaf forest(22.63%), Mixed forest(14.84%), Cropland(14.76%), Water(15.97%), Temperate or sub-polar shrubland(2.33%), ","New Brunswick",
NB056,"Peters River","Rivière Peters",47.69,-65.68,0,9,3.09,"2023-06-20 00:00:00",30,0,National,"Global: A1 - Threatened species (sensitive species). National: ","Legislation, Site/area management, Policies and regulations, Awareness & communications, Resource & habitat protection","Temperate or sub-polar broadleaf deciduous forest(1.25%), Mixed forest(11.37%), Temperate or sub-polar needleleaf forest(4.28%), Wetland(0.44%), Temperate or sub-polar grassland(0.82%), Temperate or sub-polar shrubland(0.48%), Cropland(0.23%), Water(61.1%), Urban(19.93%), ","New Brunswick",
NB057,"Rivière du Nord","Rivière du Nord",47.79,-65.07,0,5,3.03,"2023-06-20 00:00:00",0,0,National,"Global: A1 - Threatened species (sensitive species). National: ","Legislation, Awareness & communications, Site/area management, Resource & habitat protection, Policies and regulations","Temperate or sub-polar needleleaf forest(25.04%), Temperate or sub-polar shrubland(2.29%), Temperate or sub-polar broadleaf deciduous forest(3.08%), Temperate or sub-polar grassland(7.59%), Water(19.52%), Wetland(6.68%), Urban(0.39%), Mixed forest(35.29%), ","New Brunswick",
NB058,"Lake Utopia Complex","Complexe du lac Utopia",45.18,-66.79,10,148,26.53,"2023-07-21 00:00:00",8,0,National,"Global: . National: A1 - Threatened species (fishes)","Resource & habitat protection, Policies and regulations, Compliance and enforcement, Awareness & communications, Legislation","Barren lands(0.07%), Mixed forest(14.09%), Urban(0.87%), Water(55.51%), Temperate or sub-polar needleleaf forest(16.02%), Temperate or sub-polar grassland(1.36%), Wetland(0.24%), Temperate or sub-polar broadleaf deciduous forest(11.82%), ","New Brunswick","Rainbow Smelt(Osmerus mordax pop. 3), Rainbow Smelt(Osmerus mordax pop. 2), "
NB059,"Fundy National Park","Parc national Fundy",45.62,-65.04,0,382,205.65,"2023-08-21 00:00:00",100,0,National,"Global: A1 - Threatened species (vascular plants). National: A1 - Threatened species (fungi and lichens); B1 - Individual geographically restricted species (fungi and lichens)","Resource & habitat protection, Site/area protection","Mixed forest(31.33%), Barren lands(0.01%), Urban(1.18%), Cropland(0.13%), Wetland(0.14%), Water(1.05%), Temperate or sub-polar grassland(0.09%), Temperate or sub-polar needleleaf forest(50.74%), Temperate or sub-polar broadleaf deciduous forest(15.32%), ","New Brunswick","Eastern Waterfan(Peltigera hydrothyria), Roland's Sea-blite(Suaeda rolandii), "
NB060,"Upper Wolastoq (Saint John River) Islands","Îles du Wolastoq (fleuve Saint-Jean) supérieur",46.36,-67.56,39,68,10.71,"2023-10-27 00:00:00",1,0,National,"Global: A1 - Threatened species (sensitive species); B1 - Individual geographically restricted species (sensitive species). National: ","Formal education, Site/area management, Policies and regulations, Site/area protection","Temperate or sub-polar grassland(0.78%), Water(71.57%), Cropland(1.72%), Temperate or sub-polar broadleaf deciduous forest(6.22%), Temperate or sub-polar needleleaf forest(4.58%), Wetland(0.25%), Urban(10.87%), Mixed forest(2.81%), Barren lands(1.16%), ","New Brunswick",
NL001,"Cape St. Mary's","Cape St. Mary's",46.81,-54.21,0,150,329.39,"2022-08-18 00:00:00",20,0,Global,"Global: Threatened birds (A1); Aggregations of birds (D1). National: Aggregations of birds (D1)","Legislation, Site/area protection, Policies and regulations, Site/area management","Water(83.21%), Barren lands(0.06%), Wetland(2.96%), Temperate or sub-polar shrubland(9.98%), Temperate or sub-polar needleleaf forest(3.63%), Urban(0.14%), Mixed forest(0.01%), Temperate or sub-polar broadleaf deciduous forest(0%), ","Newfoundland and Labrador","Black-legged Kittiwake(Rissa tridactyla), Northern Gannet(Morus bassanus), "
NL002,"Witless Bay Islands","Witless Bay Islands",47.22,-52.79,0,71,62.71,"2022-08-18 00:00:00",49,0,Global,"Global: A1 - Threatened species (birds); D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)","Legislation, Site/area protection","Urban(0.15%), Temperate or sub-polar shrubland(1.33%), Wetland(0.41%), Temperate or sub-polar needleleaf forest(3.35%), Barren lands(0.12%), Water(94.64%), ","Newfoundland and Labrador","Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), Black-legged Kittiwake(Rissa tridactyla), Leach's Storm-Petrel(Hydrobates leucorhous), Razorbill(Alca torda), Common Murre(Uria aalge), Atlantic Puffin(Fratercula arctica), "
NL003,"Baccalieu Island","Baccalieu Island",48.13,-52.80,0,136,45.22,"2024-02-15 00:00:00",51,0,National,"Global: A1 - Threatened species (birds); B1 - Individual geographically restricted species (birds); D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds); B1 - Individual geographically restricted species (birds); D1 - Demographic aggregations (birds)","Site/area protection, Resource & habitat protection, Policies and regulations","Barren lands(0.23%), Temperate or sub-polar needleleaf forest(3.13%), Wetland(0.75%), Water(89.59%), Temperate or sub-polar shrubland(6.25%), Mixed forest(0.04%), ","Newfoundland and Labrador","Northern Gannet(Morus bassanus), Atlantic Puffin(Fratercula arctica), Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), Leach's Storm-Petrel(Hydrobates leucorhous), "
NL013,"Wadham Islands and Marine Area","Wadham Islands and Marine Area",49.56,-53.82,0,17,160.53,"2024-07-24 00:00:00",0,0,National,"Global: A1 - Threatened species (birds). National: D1 - Demographic aggregations (birds)",,"Mixed forest(0.01%), Water(97.49%), Temperate or sub-polar needleleaf forest(0.04%), Temperate or sub-polar shrubland(1.03%), Barren lands(0.16%), Wetland(1.27%), ","Newfoundland and Labrador","Razorbill(Alca torda), Atlantic Puffin(Fratercula arctica), "
NL021,"Cape St. Francis","Cape St. Francis",47.83,-52.78,0,203,70.21,"2024-07-24 00:00:00",0,0,National,"Global: . National: D1 - Demographic aggregations (birds)","Policies and regulations","Temperate or sub-polar needleleaf forest(4.08%), Temperate or sub-polar shrubland(0.28%), Wetland(0.04%), Barren lands(0.44%), Mixed forest(0.01%), Water(94.8%), Urban(0.32%), ","Newfoundland and Labrador","Common Eider(Somateria mollissima), "
NL022,"Quidi Vidi Lake and Area","Quidi Vidi Lake and Area",47.57,-52.69,0,141,5.07,"2024-07-24 00:00:00",0,0,National,"Global: . National: D1 - Demographic aggregations (birds)","Site/area management","Urban(28.76%), Water(35.9%), Mixed forest(0.12%), Barren lands(4.32%), Temperate or sub-polar needleleaf forest(8.16%), Temperate or sub-polar shrubland(22.64%), ","Newfoundland and Labrador","Black-headed Gull(Chroicocephalus ridibundus), Iceland Gull(Larus glaucoides), Great Black-backed Gull(Larus marinus), "
NL024,"Mistaken Point","Mistaken Point",46.61,-53.18,0,91,137.37,"2024-09-25 00:00:00",4,0,National,"Global: . National: D1 - Demographic aggregations (birds)","Site/area protection","Temperate or sub-polar needleleaf forest(0.42%), Barren lands(0.14%), Water(94.55%), Urban(0.19%), Mixed forest(0%), Temperate or sub-polar shrubland(3.81%), Wetland(0.89%), ","Newfoundland and Labrador","Common Eider(Somateria mollissima), "
NL031,"Middle Lawn Island","Middle Lawn Island",46.87,-55.62,0,35,14.29,"2024-07-24 00:00:00",10,0,National,"Global: . National: A1 - Threatened species (birds)","Resource & habitat protection, Site/area protection","Barren lands(0.09%), Temperate or sub-polar needleleaf forest(0.09%), Water(98.93%), Mixed forest(0.04%), Temperate or sub-polar shrubland(0.57%), Wetland(0.27%), ","Newfoundland and Labrador","Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), "
NL032,"Green Island","Green Island",46.88,-56.09,0,1,17.68,"2024-07-24 00:00:00",0,0,National,"Global: A1 - Threatened species (birds). National: A1 - Threatened species (birds)",,"Mixed forest(0.05%), Water(98.62%), Wetland(0.12%), Temperate or sub-polar shrubland(1.17%), ","Newfoundland and Labrador","Leach's Storm-Petrel(Hydrobates leucorhous), Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), "
NL036,"Grand Colombier Island","Grand Colombier Island",46.82,-56.13,0,143,80.69,"2024-07-24 00:00:00",0,0,National,"Global: A1 - Threatened species (birds). National: A1 - Threatened species (birds); D1 - Demographic aggregations (birds)",,"Water(100%), ","Newfoundland and Labrador","Leach's Storm-Petrel(Hydrobates leucorhous), Leach's Storm-Petrel(Hydrobates leucorhous pop. 1), Razorbill(Alca torda), Atlantic Puffin(Fratercula arctica), "
NL038,"Grand Bay West to Cheeseman Provincial Park","Grand Bay West to Cheeseman Provincial Park",47.63,-59.27,0,95,40.33,"2023-09-20 00:00:00",6,0,National,"Global: . National: A1 - Threatened species (birds)","Site/area management, Awareness & communications, Legislation, Policies and regulations, Site/area protection","Temperate or sub-polar needleleaf forest(5.72%), Temperate or sub-polar shrubland(13.64%), Mixed forest(14.18%), Sub-polar or polar barren-lichen-moss(0.02%), Water(50.88%), Wetland(9.3%), Barren lands(2.03%), Temperate or sub-polar broadleaf deciduous forest(0.46%), Urban(3.77%), ","Newfoundland and Labrador","Piping Plover(Charadrius melodus melodus), "
NL047,"Gannet Islands","Gannet Islands",53.95,-56.52,0,58,236.25,"2024-04-17 00:00:00",10,0,National,"Global: A1 - Threatened species (birds). National: D1 - Demographic aggregations (birds)","Site/area protection, Resource & habitat protection, Policies and regulations","Temperate or sub-polar needleleaf forest(0%), Barren lands(0.12%), Sub-polar or polar grassland-lichen-moss(0%), Wetland(0.1%), Temperate or sub-polar grassland(0.04%), Water(99.43%), Sub-polar taiga needleleaf forest(0.02%), Temperate or sub-polar shrubland(0.28%), ","Newfoundland and Labrador","Atlantic Puffin(Fratercula arctica), Harlequin Duck(Histrionicus histrionicus pop. 1), Razorbill(Alca torda), "
NL068,"Point Amour, Strait of Belle Isle","Point Amour, Strait of Belle Isle",51.44,-56.91,0,48,51.44,"2024-07-24 00:00:00",0,0,National,"Global: . National: D1 - Demographic aggregations (birds)",,"Mixed forest(0.06%), Temperate or sub-polar needleleaf forest(0.14%), Urban(0.51%), Sub-polar or polar grassland-lichen-moss(0.17%), Temperate or sub-polar shrubland(0.72%), Water(97.66%), Temperate or sub-polar broadleaf deciduous forest(0.02%), Wetland(0.3%), Barren lands(0.41%), ","Newfoundland and Labrador","Razorbill(Alca torda), "
NL084,"St. John Island","St. John Island",50.83,-57.26,8,62,0.87,"2023-05-09 00:00:00",0,0,National,"Global: . National: Threatened vascular plants (A1)",,"Temperate or sub-polar needleleaf forest(17.79%), Barren lands(61.96%), Wetland(16.61%), Mixed forest(2.07%), Temperate or sub-polar shrubland(1.12%), ","Newfoundland and Labrador","Griscom's Arnica(Arnica griscomii ssp. griscomii), "
NL085,Straitsview,Straitsview,51.59,-55.49,0,30,0.05,"2023-05-09 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (nonvascular plants)",,"Temperate or sub-polar shrubland(40.83%), Water(31.13%), ","Newfoundland and Labrador","Porsild's Bryum(Haplodontium macrocarpum), "
NL086,"White Cape","White Cape",51.51,-55.45,1,89,0.25,"2023-05-09 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (nonvascular plants)",,"Temperate or sub-polar needleleaf forest(8.65%), Temperate or sub-polar shrubland(43.07%), Water(40.84%), Barren lands(2.44%), Sub-polar taiga needleleaf forest(2.21%), ","Newfoundland and Labrador","Porsild's Bryum(Haplodontium macrocarpum), "
NL087,"Cape Onion","Cape Onion",51.61,-55.64,0,80,1.95,"2024-04-17 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (nonvascular plants)",,"Temperate or sub-polar shrubland(29.35%), Temperate or sub-polar needleleaf forest(42.24%), Sub-polar taiga needleleaf forest(0.56%), Barren lands(1.16%), Urban(1.14%), Water(13.27%), Mixed forest(7.77%), Wetland(4.51%), ","Newfoundland and Labrador","Porsild's Bryum(Haplodontium macrocarpum), "
NL088,"Anchor Point","Anchor Point",51.23,-56.76,4,31,2.79,"2024-07-24 00:00:00",0,0,National,"Global: A1 - Threatened species (vascular plants). National: ","Legislation, Awareness & communications, Ex-situ conservation, Policies and regulations","Wetland(14.04%), Temperate or sub-polar shrubland(25.26%), Mixed forest(3.71%), Barren lands(5.38%), Water(9%), Temperate or sub-polar broadleaf deciduous forest(2.21%), Sub-polar or polar barren-lichen-moss(0.58%), Sub-polar taiga needleleaf forest(5.26%), Sub-polar or polar grassland-lichen-moss(2.65%), Temperate or sub-polar needleleaf forest(31.22%), Urban(0.66%), ","Newfoundland and Labrador","Fernald's Braya(Braya fernaldii), "
NL089,"Bateau Barrens","Bateau Barrens",50.40,-57.51,0,23,0.27,"2024-07-24 00:00:00",0,1,National,"Global: A1 - Threatened species (vascular plants). National: ","Ex-situ conservation, Awareness & communications, Legislation, Policies and regulations","Wetland(20.26%), Mixed forest(8.96%), Barren lands(48.19%), Temperate or sub-polar shrubland(17.12%), Water(4.08%), ","Newfoundland and Labrador","Fernald's Braya(Braya fernaldii), "
NL090,"Brig Bay","Brig Bay",51.06,-56.92,0,7,0.08,"2024-07-24 00:00:00",0,1,National,"Global: A1 - Threatened species (vascular plants). National: ","Legislation, Ex-situ conservation, Policies and regulations, Awareness & communications","Temperate or sub-polar shrubland(15.04%), Barren lands(75.89%), ","Newfoundland and Labrador","Fernald's Braya(Braya fernaldii), "
NL091,"Burnt Cape","Burnt Cape",51.57,-55.75,0,77,3.61,"2024-07-24 00:00:00",100,0,National,"Global: A1 - Threatened species (vascular plants). National: ","Site/area protection","Wetland(4.6%), Temperate or sub-polar shrubland(10.11%), Water(11.8%), Temperate or sub-polar needleleaf forest(5.63%), Sub-polar taiga needleleaf forest(2.58%), Barren lands(61.68%), Mixed forest(3.59%), ","Newfoundland and Labrador","Fernald's Braya(Braya fernaldii), "
NL092,"Green Island Brook","Green Island Brook",51.40,-56.53,9,18,0.14,"2024-07-24 00:00:00",0,0,National,"Global: A1 - Threatened species (vascular plants). National: ","Legislation, Policies and regulations, Ex-situ conservation, Awareness & communications","Barren lands(15.42%), Temperate or sub-polar shrubland(13.92%), Wetland(31.22%), Urban(34.82%), ","Newfoundland and Labrador","Fernald's Braya(Braya fernaldii), "
NL093,"Port au Choix","Port au Choix",50.70,-57.39,0,48,8.63,"2024-07-24 00:00:00",0,0,National,"Global: A1 - Threatened species (vascular plants). National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Legislation, Awareness & communications, Policies and regulations, Site/area protection","Urban(5.93%), Barren lands(25.25%), Water(12.7%), Temperate or sub-polar shrubland(12.15%), Wetland(19.63%), Mixed forest(7.88%), Temperate or sub-polar needleleaf forest(16.42%), ","Newfoundland and Labrador","Griscom's Arnica(Arnica griscomii ssp. griscomii), Fernald's Braya(Braya fernaldii), "
NL094,"Sandy Cove Airstrip","Bande d’atterrissage de Sandy Cove",51.34,-56.69,0,2,0.2,"2024-07-24 00:00:00",28,1,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: ","Ex-situ conservation, Policies and regulations, Site/area protection, Legislation, Awareness & communications","Urban(49.78%), Temperate or sub-polar shrubland(13.73%), Temperate or sub-polar needleleaf forest(11.01%), Water(3.13%), Barren lands(15.61%), Wetland(3.71%), Mixed forest(2.59%), ","Newfoundland and Labrador","Long's Braya(Braya longii), "
